doc_id,entity,type,score
175,al,I-ORG,0.9826539
175,##sha,I-ORG,0.7624806
175,##ria,I-ORG,0.8707645
175,##h,I-ORG,0.92609024
176,##azi,I-LOC,0.9418444
176,##azi,I-LOC,0.9189237
199,c,I-PER,0.37514442
203,##lam,I-MISC,0.97144103
203,ben,I-LOC,0.75798887
203,##gh,I-LOC,0.98765635
203,##azi,I-LOC,0.9970505
207,##eric,I-MISC,0.7704174
212,##iu,I-PER,0.8585598
212,##wai,I-PER,0.9524516
212,##li,I-PER,0.5085854
212,##wai,I-PER,0.7738532
214,ben,I-LOC,0.86494005
214,##gh,I-LOC,0.98227835
214,##azi,I-LOC,0.99746764
214,##eric,I-MISC,0.69761086
214,##gh,I-LOC,0.985531
214,##azi,I-LOC,0.997447
215,##ian,I-ORG,0.4277063
215,am,I-ORG,0.59002036
217,##gh,I-LOC,0.9723288
217,##azi,I-LOC,0.9890787
220,ben,I-LOC,0.76540226
220,##gh,I-LOC,0.9166857
220,##azi,I-LOC,0.9709249
221,##ch,I-PER,0.5784349
221,##mit,I-PER,0.6742028
222,ben,I-LOC,0.81839466
222,##gh,I-LOC,0.93987626
222,##azi,I-LOC,0.9832759
224,##gh,I-LOC,0.92521226
224,##azi,I-LOC,0.99076396
225,ben,I-LOC,0.78116834
225,##gh,I-LOC,0.92080057
225,##azi,I-LOC,0.9718108
227,ben,I-LOC,0.7322075
227,##gh,I-LOC,0.9885105
227,##azi,I-LOC,0.9912009
229,ben,I-LOC,0.69570065
229,##gh,I-LOC,0.9673045
229,##azi,I-LOC,0.9789733
237,##gh,I-LOC,0.92177767
237,##azi,I-LOC,0.9767305
240,i,I-PER,0.50832736
242,##ys,I-ORG,0.5329138
244,##nt,I-ORG,0.6878739
244,##ju,I-ORG,0.76940787
244,##an,I-ORG,0.79540384
244,##co,I-ORG,0.7907574
244,##le,I-ORG,0.5527129
244,##com,I-ORG,0.5271784
245,##gh,I-LOC,0.95866287
245,##azi,I-LOC,0.9917774
250,c,I-PER,0.89925957
250,##lint,I-PER,0.62550724
250,ben,I-LOC,0.79682326
250,##gh,I-LOC,0.9856778
250,##azi,I-LOC,0.9956607
250,c,I-PER,0.77218807
250,##lint,I-PER,0.52297103
259,##gh,I-LOC,0.8034946
259,##azi,I-LOC,0.95448804
259,##gh,I-LOC,0.87415916
259,##azi,I-LOC,0.9710887
260,##one,I-ORG,0.51025504
260,##mail,I-ORG,0.7060823
265,##tone,I-ORG,0.6925315
265,##mal,I-ORG,0.82120126
265,##l,I-ORG,0.7841195
265,##com,I-ORG,0.85213673
268,q,I-PER,0.7573093
268,##ad,I-PER,0.87439966
268,##ha,I-PER,0.32128543
273,euro,I-MISC,0.9537871
273,##pe,I-MISC,0.75359905
273,##an,I-MISC,0.4989096
273,must,I-PER,0.95644796
273,##af,I-PER,0.78553087
273,##a,I-PER,0.95130116
273,a,I-PER,0.7430619
273,##b,I-PER,0.8415148
273,##del,I-PER,0.7743592
273,j,I-PER,0.97649527
273,##ali,I-PER,0.9746488
276,##gh,I-LOC,0.880823
276,##azi,I-LOC,0.96767586
282,##rae,I-LOC,0.56761986
282,##lis,I-LOC,0.4840928
283,ben,I-LOC,0.74104977
283,##gh,I-LOC,0.92326313
283,##azi,I-LOC,0.9830839
285,ben,I-LOC,0.67183656
285,##gh,I-LOC,0.9439023
285,##azi,I-LOC,0.98547816
291,ben,I-LOC,0.7880532
291,##gh,I-LOC,0.90726703
291,##azi,I-LOC,0.9638497
292,ben,I-LOC,0.6287634
292,##gh,I-LOC,0.90292203
292,##azi,I-LOC,0.9646537
293,am,I-MISC,0.89742017
293,##eric,I-MISC,0.97837424
293,##an,I-MISC,0.9839491
293,ben,I-LOC,0.7060274
293,##gh,I-LOC,0.99300164
293,##azi,I-LOC,0.9986438
293,l,I-LOC,0.7329691
293,##eric,I-MISC,0.9552502
293,##an,I-MISC,0.96213555
293,##gh,I-LOC,0.99264115
293,##azi,I-LOC,0.9987355
293,l,I-LOC,0.57977706
293,##ib,I-LOC,0.60611635
295,##gh,I-LOC,0.9248233
295,##azi,I-LOC,0.98588526
296,ben,I-LOC,0.7846208
296,##gh,I-LOC,0.9406106
296,##azi,I-LOC,0.9917908
311,##hil,I-PER,0.57906204
311,##ip,I-PER,0.75029427
313,##ull,I-ORG,0.68785655
313,##iva,I-ORG,0.49398482
330,##zer,I-MISC,0.8868882
333,##gol,I-MISC,0.50913256
336,##ull,I-ORG,0.73885834
336,ka,I-LOC,0.98000187
336,##zak,I-LOC,0.9607713
336,##hs,I-MISC,0.49115068
336,##tan,I-LOC,0.79331994
336,##dia,I-LOC,0.5229131
345,i,I-LOC,0.741935
345,##ra,I-LOC,0.61183816
345,##q,I-LOC,0.8054802
345,##ghan,I-LOC,0.9967784
345,##istan,I-LOC,0.99902797
357,##n,I-PER,0.80755186
380,##and,I-ORG,0.52061
391,c,I-PER,0.7767085
391,##lint,I-PER,0.56811774
401,euro,I-LOC,0.70444787
401,##pe,I-LOC,0.5871914
410,##ndon,I-LOC,0.7505197
410,##burgh,I-LOC,0.5173793
418,##rian,I-ORG,0.5387032
437,##ull,I-ORG,0.52544117
443,euro,I-LOC,0.47231516
481,r,I-ORG,0.47555164
481,##ob,I-ORG,0.43751925
493,##adia,I-MISC,0.61826336
498,##yt,I-ORG,0.706861
500,##aa,I-PER,0.46263042
500,##cs,I-PER,0.6098218
501,middle,I-LOC,0.8590617
501,east,I-LOC,0.9981207
502,##vil,I-ORG,0.49037817
507,##uant,I-MISC,0.53782505
507,##ana,I-MISC,0.644415
507,##mo,I-LOC,0.9604325
509,##nt,I-ORG,0.53913414
520,##han,I-PER,0.46215373
531,z,I-PER,0.53641146
531,##ela,I-LOC,0.41405204
555,##ela,I-MISC,0.32406965
588,sa,I-ORG,0.46712676
608,##ur,I-LOC,0.54405546
608,##dis,I-LOC,0.5479215
608,##tan,I-MISC,0.7138845
627,r,I-MISC,0.8436479
627,##uss,I-MISC,0.9873772
638,r,I-MISC,0.8436479
638,##uss,I-MISC,0.9873772
679,##bian,I-MISC,0.9343026
709,o,I-ORG,0.44181472
718,ho,I-PER,0.57540727
718,##l,I-PER,0.54813665
718,##brook,I-PER,0.8609911
727,##cha,I-PER,0.7047936
727,##el,I-PER,0.6950813
760,##lar,I-ORG,0.5292762
762,##adia,I-MISC,0.74609107
768,in,I-MISC,0.58846736
768,##dia,I-MISC,0.9036059
770,i,I-MISC,0.69826347
787,##kis,I-MISC,0.48941985
787,##du,I-PER,0.7041998
808,##yt,I-ORG,0.66478175
808,##imes,I-ORG,0.58275044
809,##ap,I-LOC,0.58763736
829,##tein,I-PER,0.61866206
829,##berg,I-PER,0.5625888
841,chin,I-MISC,0.95486885
841,##ese,I-MISC,0.8302981
845,br,I-PER,0.5566873
845,##ode,I-PER,0.45412937
851,##brook,I-PER,0.7032069
858,##ike,I-ORG,0.57947737
858,##n,I-ORG,0.48122737
861,ho,I-PER,0.939272
861,##l,I-PER,0.5501629
861,##brook,I-PER,0.8240612
886,##brook,I-PER,0.65999883
886,##e,I-ORG,0.5951435
890,##ike,I-ORG,0.517765
890,##n,I-ORG,0.49049446
892,me,I-ORG,0.6982403
892,##lan,I-ORG,0.82015246
892,##ne,I-ORG,0.8559304
892,##rica,I-LOC,0.5929446
894,r,I-MISC,0.8868856
894,##uss,I-MISC,0.9849783
894,##ians,I-MISC,0.7196154
905,##ira,I-PER,0.33684543
905,##ju,I-PER,0.562686
910,##brook,I-PER,0.8949271
925,##aki,I-MISC,0.67800486
925,##stan,I-MISC,0.84855527
934,##dia,I-LOC,0.96634656
935,##rie,I-ORG,0.573945
950,##aid,I-PER,0.5299492
963,g,I-LOC,0.66885394
963,##erman,I-MISC,0.89485747
964,##h,I-MISC,0.609974
1030,##cca,I-ORG,0.48436868
1030,##in,I-ORG,0.6373526
1030,##lie,I-ORG,0.74219364
1030,##berman,I-ORG,0.7940674
1030,##gra,I-ORG,0.7150053
1030,##ham,I-ORG,0.78836584
1033,i,I-PER,0.9830263
1033,##bra,I-PER,0.9922651
1033,##him,I-PER,0.9972274
1033,par,I-PER,0.99794954
1033,##lak,I-PER,0.7784516
1037,##eas,I-LOC,0.56236947
1037,##f,I-LOC,0.6388472
1037,##ghan,I-LOC,0.99393165
1037,##istan,I-LOC,0.99832505
1037,##ghan,I-LOC,0.9854081
1037,##istan,I-LOC,0.9906561
1044,##akes,I-ORG,0.5839545
1044,##ull,I-ORG,0.88933057
1044,##iva,I-ORG,0.8607009
1044,##n,I-ORG,0.88361174
1045,##ull,I-ORG,0.6771393
1045,##iva,I-ORG,0.68821263
1045,##n,I-ORG,0.58905697
1061,##rica,I-LOC,0.91935897
1066,m,I-PER,0.49217972
1066,##do,I-PER,0.68356705
1080,east,I-LOC,0.98636913
1095,##brook,I-PER,0.57363415
1096,al,I-PER,0.5128814
1125,ka,I-MISC,0.85180724
1125,##rz,I-MISC,0.7397441
1125,##ais,I-MISC,0.66425616
1136,##ery,I-ORG,0.47569945
1147,la,I-PER,0.6739628
1151,e,I-ORG,0.41556782
1151,##ike,I-PER,0.70370823
1151,##n,I-PER,0.44455072
1151,##berry,I-ORG,0.46905884
1153,burns,I-ORG,0.521188
1153,##stein,I-ORG,0.68280333
1153,##berg,I-ORG,0.61045074
1162,##alk,I-LOC,0.9989403
1162,##lands,I-LOC,0.9952779
1162,##f,I-LOC,0.7790156
1162,##ghan,I-LOC,0.99176824
1162,##istan,I-LOC,0.99886477
1176,##f,I-LOC,0.90381205
1176,##ghan,I-LOC,0.9803919
1176,##istan,I-LOC,0.99582916
1177,##rica,I-LOC,0.45399484
1201,##rah,I-ORG,0.7162292
1212,den,I-PER,0.7641933
1212,##nis,I-PER,0.8525839
1212,r,I-PER,0.7103461
1212,##oss,I-PER,0.6453821
1247,c,I-ORG,0.52072316
1252,##xi,I-MISC,0.952657
1252,##can,I-MISC,0.96668285
1290,##tein,I-PER,0.38407105
1290,##berg,I-ORG,0.54533297
1315,##eric,I-MISC,0.37141952
1325,c,I-PER,0.7330554
1325,##lint,I-PER,0.56021696
1335,states,I-LOC,0.9067992
1335,euro,I-MISC,0.4779615
1335,##quel,I-PER,0.7801917
1345,##af,I-ORG,0.5498006
1345,##rica,I-ORG,0.42774853
1347,rod,I-PER,0.71357834
1347,##ham,I-PER,0.9090118
1347,c,I-PER,0.949819
1347,##lint,I-PER,0.83724207
1347,##on,I-PER,0.6451154
1355,##ham,I-PER,0.5424252
1355,c,I-PER,0.73061067
1359,##ib,I-LOC,0.4279973
1359,east,I-LOC,0.9394265
1366,##ull,I-ORG,0.59160405
1376,##si,I-MISC,0.60337615
1376,port,I-MISC,0.6735131
1376,##ues,I-MISC,0.94803303
1376,##e,I-MISC,0.99222845
1383,c,I-PER,0.87532336
1383,##lint,I-PER,0.92173123
1383,##eric,I-MISC,0.9310117
1383,##an,I-MISC,0.92137176
1383,##eric,I-MISC,0.9350612
1383,##an,I-MISC,0.6455757
1383,##k,I-MISC,0.5554252
1387,me,I-PER,0.9781782
1387,##lan,I-PER,0.67719835
1387,##ne,I-PER,0.78411615
1394,ho,I-PER,0.9683676
1394,##l,I-PER,0.4795547
1394,##brook,I-PER,0.80540407
1399,##quel,I-PER,0.64578366
1405,z,I-PER,0.8296964
1405,##ela,I-PER,0.319905
1405,##ya,I-PER,0.46601427
1405,mi,I-PER,0.84010047
1405,##chel,I-PER,0.6988677
1407,z,I-PER,0.57115096
1407,##ela,I-PER,0.35192943
1413,ka,I-PER,0.9117739
1413,##rz,I-PER,0.5687502
1413,she,I-PER,0.8587001
1413,##nga,I-LOC,0.9695761
1413,##r,I-LOC,0.87364244
1413,##har,I-LOC,0.97379196
1414,##rench,I-MISC,0.99833626
1414,##rench,I-MISC,0.99861896
1418,##rz,I-LOC,0.41838235
1418,##rz,I-LOC,0.66328365
1420,##rench,I-MISC,0.9979625
1425,##rench,I-MISC,0.99715686
1431,j,I-MISC,0.66379434
1431,##apa,I-MISC,0.76285344
1431,##nese,I-MISC,0.9754819
1431,am,I-MISC,0.83216554
1431,##eric,I-MISC,0.9677376
1431,##an,I-MISC,0.99335194
1431,man,I-PER,0.9096845
1431,##ou,I-PER,0.99442446
1431,##che,I-PER,0.96534115
1431,##hr,I-PER,0.9923781
1431,m,I-PER,0.9925087
1431,##ott,I-PER,0.9588649
1431,##aki,I-PER,0.8990957
1431,##ox,I-ORG,0.6216337
1431,##ro,I-PER,0.8883595
1431,##fu,I-PER,0.93040377
1431,##mi,I-PER,0.98336375
1431,nak,I-PER,0.62473255
1431,##ran,I-ORG,0.55186015
1432,arm,I-ORG,0.7012516
1432,i,I-PER,0.42819437
1432,##gna,I-PER,0.75603604
1432,##tius,I-PER,0.7011779
1443,##eor,I-PER,0.47736815
1446,##nis,I-PER,0.5985036
1451,ka,I-LOC,0.9049871
1451,##zak,I-LOC,0.7448967
1451,##hs,I-MISC,0.82095414
1451,##tan,I-LOC,0.6384211
1458,me,I-MISC,0.53084266
1458,##xi,I-MISC,0.97425926
1458,##can,I-MISC,0.97065014
1466,##rench,I-MISC,0.9944002
1500,##met,I-PER,0.9674763
1500,da,I-PER,0.92616206
1500,##vu,I-PER,0.9098388
1500,##to,I-PER,0.70318717
1500,##g,I-PER,0.45140103
1500,##h,I-MISC,0.4932029
1513,chin,I-MISC,0.991325
1513,##ese,I-MISC,0.9933183
1513,i,I-LOC,0.6420386
1513,##ran,I-LOC,0.932142
1513,a,I-LOC,0.5840738
1513,##f,I-LOC,0.9480811
1513,##ghan,I-LOC,0.99450433
1513,##istan,I-LOC,0.9985905
1514,euro,I-LOC,0.699394
1514,##pe,I-LOC,0.4867797
1515,##f,I-LOC,0.897536
1515,##ghan,I-LOC,0.99567443
1515,##istan,I-LOC,0.9987728
1515,##f,I-LOC,0.8523265
1515,##ghan,I-LOC,0.9928757
1515,##istan,I-LOC,0.9956585
1515,is,I-LOC,0.9546057
1515,##lam,I-LOC,0.9961211
1515,##abad,I-LOC,0.99884003
1515,as,I-ORG,0.543597
1522,##lint,I-ORG,0.5455268
1522,##one,I-ORG,0.8226761
1522,##mail,I-ORG,0.83304805
1522,##com,I-ORG,0.8278074
1526,euro,I-MISC,0.98894227
1526,##pe,I-MISC,0.9527601
1526,##ans,I-MISC,0.9732089
1527,##dia,I-LOC,0.9330377
1527,##uss,I-LOC,0.51652205
1527,##dia,I-MISC,0.96149296
1528,g,I-LOC,0.8035468
1528,##erman,I-MISC,0.76765764
1528,##uss,I-LOC,0.72784173
1548,am,I-MISC,0.49598405
1548,##eric,I-MISC,0.92106915
1548,##an,I-MISC,0.9929671
1549,i,I-LOC,0.7682878
1549,##ra,I-LOC,0.6401361
1549,##q,I-LOC,0.7774806
1549,i,I-LOC,0.77115256
1549,##ra,I-LOC,0.6953369
1549,##q,I-LOC,0.7462824
1549,##eric,I-MISC,0.75422865
1555,##f,I-LOC,0.957523
1555,##ghan,I-LOC,0.9984407
1555,##istan,I-LOC,0.9996357
1563,euro,I-LOC,0.61127484
1563,##pe,I-LOC,0.68128955
1566,am,I-MISC,0.8990893
1566,##eric,I-MISC,0.9459201
1566,##an,I-MISC,0.99150425
1566,k,I-LOC,0.5398442
1566,##ore,I-LOC,0.75147665
1566,##yon,I-LOC,0.92777926
1566,##gy,I-LOC,0.79760015
1566,##ang,I-MISC,0.5408929
1566,##ore,I-LOC,0.56409603
1572,d,I-LOC,0.51609623
1572,##hab,I-LOC,0.42809954
1574,##ham,I-PER,0.58712745
1574,c,I-PER,0.60239786
1580,##aul,I-ORG,0.69796395
1580,k,I-ORG,0.6625787
1580,##rug,I-ORG,0.79096526
1580,##an,I-MISC,0.60387796
1611,##ca,I-PER,0.6442611
1611,##o,I-PER,0.5367055
1611,##fo,I-PER,0.48594555
1632,##ene,I-MISC,0.771248
1632,##rel,I-PER,0.9972524
1632,de,I-PER,0.95388305
1641,##aki,I-LOC,0.8556885
1641,##stan,I-LOC,0.974626
1641,##aki,I-LOC,0.80529165
1641,##stan,I-LOC,0.96484804
1641,##aki,I-LOC,0.622682
1641,##stan,I-LOC,0.93588877
1642,##china,I-ORG,0.5535186
1648,##f,I-LOC,0.9484702
1648,##ghan,I-LOC,0.9958941
1648,##istan,I-LOC,0.99911183
1655,o,I-ORG,0.70972836
1655,##r,I-ORG,0.67754227
1656,mi,I-PER,0.91495484
1656,##e,I-PER,0.6461547
1656,k,I-PER,0.8104122
1661,euro,I-MISC,0.9825234
1661,##pe,I-MISC,0.90400827
1661,##an,I-MISC,0.9317734
1674,##eric,I-MISC,0.9323457
1674,##an,I-MISC,0.96463037
1676,##cha,I-PER,0.54616886
1677,##iya,I-LOC,0.9990017
1677,##dh,I-LOC,0.9994055
1680,o,I-ORG,0.6422302
1680,##eor,I-LOC,0.41829783
1681,##zi,I-LOC,0.7782748
1695,##iv,I-PER,0.86982715
1695,g,I-PER,0.9560444
1695,##hand,I-PER,0.8305322
1695,g,I-ORG,0.6701194
1695,##hand,I-ORG,0.393406
1695,sing,I-PER,0.8494881
1698,am,I-MISC,0.82915974
1698,##eric,I-MISC,0.9387421
1698,##an,I-MISC,0.9409227
1706,##ore,I-LOC,0.47160637
1706,##apa,I-MISC,0.40943107
1706,chin,I-MISC,0.8534996
1706,##ese,I-MISC,0.60292315
1708,east,I-LOC,0.9597527
1708,la,I-MISC,0.70150816
1708,##ir,I-MISC,0.7303325
1708,##uss,I-MISC,0.9754405
1708,##ians,I-MISC,0.59322184
1717,c,I-PER,0.6796788
1717,##ros,I-PER,0.485036
1726,##f,I-MISC,0.3487148
1726,##ghan,I-MISC,0.45883006
1727,gut,I-PER,0.82340413
1727,##ier,I-PER,0.6988405
1731,chin,I-MISC,0.988639
1731,##ese,I-MISC,0.9965603
1734,##rae,I-LOC,0.36688483
1734,##inian,I-MISC,0.92759335
1734,##rae,I-ORG,0.413925
1735,##gh,I-PER,0.56891745
1737,au,I-MISC,0.82391423
1737,##stra,I-MISC,0.81202966
1737,##lian,I-MISC,0.91972506
1738,au,I-MISC,0.9601028
1738,##stra,I-MISC,0.91406846
1738,##lian,I-MISC,0.97706956
1742,##an,I-PER,0.94538593
1742,j,I-PER,0.7668397
1742,##oh,I-PER,0.88870394
1742,##nson,I-PER,0.83576596
1742,##oh,I-PER,0.8100386
1742,##nson,I-PER,0.741058
1754,##des,I-PER,0.47635356
1765,##brook,I-PER,0.7735075
1767,e,I-MISC,0.9605729
1767,##pt,I-MISC,0.93151426
1767,##ian,I-MISC,0.99037105
1798,##ghan,I-MISC,0.5596307
1798,##aia,I-MISC,0.5552954
1798,##n,I-MISC,0.9031966
1817,##b,I-PER,0.7200825
1822,##om,I-ORG,0.46829963
1823,##sh,I-MISC,0.66298723
1823,##ip,I-MISC,0.52240604
1823,##pine,I-MISC,0.5015395
1832,##ale,I-ORG,0.7644417
1832,##uel,I-ORG,0.63566345
1843,da,I-PER,0.77508473
1843,##vid,I-PER,0.9569731
1843,gold,I-PER,0.94173956
1843,##wyn,I-PER,0.55358905
1847,##nk,I-PER,0.49201265
1850,##ola,I-PER,0.8752702
1850,dash,I-PER,0.7578178
1850,##ti,I-PER,0.7000118
1856,##guard,I-LOC,0.6230036
1856,##ia,I-LOC,0.93309593
1856,##guard,I-LOC,0.64431274
1856,##ia,I-LOC,0.9510788
1856,##guard,I-LOC,0.72656393
1856,##ia,I-LOC,0.91997653
1860,di,I-ORG,0.7745123
1860,##tech,I-ORG,0.73472345
1860,##com,I-ORG,0.5683035
1866,##dia,I-LOC,0.98810416
1877,##rae,I-ORG,0.38079625
1877,##rae,I-ORG,0.4440739
1877,##rae,I-ORG,0.4654122
1887,##ap,I-ORG,0.6408364
1891,##dia,I-LOC,0.3945597
1893,o,I-PER,0.62543225
1893,be,I-PER,0.9709118
1893,##rl,I-PER,0.5807521
1893,##us,I-PER,0.6314506
1893,##con,I-PER,0.6173926
1893,##i,I-PER,0.84766936
1902,i,I-MISC,0.6445361
1902,i,I-MISC,0.963354
1902,##rani,I-MISC,0.985095
1902,##an,I-MISC,0.97720075
1902,i,I-MISC,0.9641182
1902,##rani,I-MISC,0.9855607
1902,##an,I-MISC,0.97534525
1903,mi,I-PER,0.94413346
1903,##hos,I-PER,0.79136616
1903,##ain,I-PER,0.97411186
1903,m,I-PER,0.5633996
1903,##avi,I-PER,0.7872904
1903,ma,I-PER,0.6421547
1903,##hm,I-PER,0.7705825
1903,##oud,I-PER,0.9962375
1903,ah,I-PER,0.9716001
1903,##mad,I-PER,0.9616336
1903,##ine,I-PER,0.93545294
1903,##d,I-PER,0.60870326
1903,i,I-MISC,0.9167464
1903,##rani,I-MISC,0.9263889
1903,##an,I-MISC,0.8264773
1903,##hi,I-MISC,0.5009603
1903,##ite,I-MISC,0.8121719
1903,euro,I-LOC,0.4250207
1903,##pe,I-LOC,0.47694138
1914,##brook,I-PER,0.68173987
1916,i,I-MISC,0.6625295
1916,##rani,I-MISC,0.906345
1916,##an,I-MISC,0.97778314
1919,##brook,I-PER,0.6584175
1919,da,I-PER,0.5935377
1919,##vid,I-PER,0.91459894
1919,r,I-PER,0.74196965
1920,u,I-MISC,0.7228945
1920,##igh,I-MISC,0.97040874
1920,##ur,I-MISC,0.92922723
1920,##pine,I-MISC,0.5003447
1923,uk,I-LOC,0.9757934
1923,i,I-MISC,0.7738036
1923,##rani,I-MISC,0.9538526
1923,##an,I-MISC,0.9557138
1923,##or,I-ORG,0.62467474
1923,##rani,I-MISC,0.42642465
1923,##an,I-MISC,0.48216942
1923,al,I-PER,0.8411542
1923,##i,I-PER,0.93757904
1923,an,I-PER,0.93811095
1923,##sar,I-PER,0.74565727
1923,##rani,I-MISC,0.6263374
1923,##an,I-MISC,0.48775893
1926,rose,I-ORG,0.8633226
1926,##mar,I-ORG,0.72962916
1926,##ie,I-ORG,0.83936584
1926,##how,I-ORG,0.9335702
1926,##e,I-ORG,0.6696438
1935,##lume,I-PER,0.46979764
1935,##nt,I-PER,0.68554085
1935,##nt,I-PER,0.59355986
1935,##nt,I-PER,0.6467684
1936,##oi,I-PER,0.9029501
1936,##nov,I-PER,0.87966233
1939,##oi,I-PER,0.49802154
1939,##nov,I-PER,0.46779206
1944,ah,I-PER,0.53518486
1944,##mad,I-PER,0.8630004
1944,##ine,I-PER,0.91947526
1944,##ja,I-PER,0.6269861
1944,##d,I-PER,0.5855898
1944,##f,I-MISC,0.60446835
1944,##rica,I-MISC,0.9606744
1944,##yd,I-LOC,0.7704404
1946,##xi,I-MISC,0.948188
1946,##can,I-MISC,0.8974417
1959,##ae,I-ORG,0.6151205
1959,##rgent,I-LOC,0.9946814
1959,##ina,I-LOC,0.891262
1960,r,I-MISC,0.9633907
1960,##uss,I-MISC,0.98456246
1966,##brook,I-PER,0.81036645
1976,##b,I-PER,0.55871195
1976,##du,I-PER,0.8255498
1979,a,I-PER,0.93623066
1979,##b,I-PER,0.9814942
1979,##du,I-PER,0.97668993
1979,##llah,I-PER,0.95060813
1980,##car,I-ORG,0.86192745
1980,##oly,I-ORG,0.742827
1989,al,I-PER,0.9302307
1989,##i,I-PER,0.7908896
1989,##jak,I-ORG,0.5220029
1989,##ep,I-ORG,0.86276364
1989,##hil,I-ORG,0.7859228
1992,al,I-PER,0.98446053
1992,##i,I-PER,0.89039415
1992,##yev,I-PER,0.4848324
1993,##ae,I-ORG,0.7646157
2029,##mb,I-MISC,0.79089755
2029,##ian,I-MISC,0.9841009
2029,al,I-PER,0.9914131
2029,##varo,I-PER,0.9972249
2029,u,I-PER,0.96280324
