doc_id,argument,start,end
2051,we try the train,60,76
2058,interesting take,0,16
2062,many see,1882,1890
2067,our identified point,54,74
2067,we need another contact,262,285
2088,which creates the possibility,1991,2020
2088,asiapacific thank,4011,4028
2089,certain working,865,880
2098,todd look,0,9
2098,both get some sleep,70,89
2099,there are places,260,276
2108,too ill check,36,49
2108,ill check,40,49
2111,much appreciated sounds,0,23
2111,appreciated sounds,5,23
2112,hes wheels,27,37
2124,we have addl,100,112
2124,we get sense,212,224
2140,we set the expectation,74,96
2141,theres way,1201,1211
2141,there are similarities,1916,1938
2141,we told the scholars,3438,3458
2141,you collected the material,3598,3624
2141,they wrote commentaries,4169,4192
2141,there are cycles,4727,4743
2141,you hear the resonance,6433,6455
2141,they establish confucius,6576,6600
2141,they reinterpreted marx,6884,6907
2141,who wrote the science,7491,7512
2141,you trace the evolution,8015,8038
2141,they call 1i,8194,8206
2141,its crowning moment,8726,8745
2141,larger end,8898,8908
2141,they have democracy,9215,9234
2141,they approve slate,9261,9279
2141,you reach the level,9428,9447
2141,they have that kind,9909,9928
2141,we have relationship,10149,10169
2141,you have the marwaris,10738,10759
2141,you have the parsees,10796,10816
2141,you have the chettiars,10861,10883
2141,you have northener,11678,11696
2141,you talk democracy,11983,12001
2141,you develop affiliations,12406,12430
2141,there is no emperorwell,13428,13451
2141,catholic follow,13571,13586
2141,he repaired the clocks,13987,14009
2141,he saw the throne,14024,14041
2141,they had chance,14415,14430
2141,you read the despatches,14521,14544
2141,who appoints ministers,15326,15348
2141,who govern the empire,16031,16052
2141,semisinic think,17050,17065
2141,chinese change,18169,18183
2141,sophisticated expect,18752,18772
2141,there is an appearance,18847,18869
2141,who sent tributes,19134,19151
2141,it became racket,19186,19202
2141,it meant lot,19314,19326
2141,they make preparations,19708,19730
2141,worth civilising,20063,20079
2141,more powerful believe,20199,20220
2141,powerful believe,20204,20220
2141,they find the world,20306,20325
2152,we have flight,339,353
2157,you want the speech,223,242
2170,it has some aspects,84,103
2184,we expect vote,132,146
2190,he professed desire,357,376
2195,nothing call oscar,6,24
2195,they need help,28,42
2200,you enjoy the holidays,109,131
2215,he has fax,147,157
2224,there is tepid,31,45
2236,he gets vote,81,93
2242,him confirmed today,17,36
2247,this divides people,1337,1356
2247,there is maximum,1530,1546
2247,we need the message,2428,2447
2247,we have responsibility,2754,2776
2247,that come the election,2790,2812
2247,he felt voters,3315,3329
2247,first needs,3806,3817
2247,he demands speedingup,4109,4130
2247,he says the change,4394,4412
2247,he defends delay,4722,4738
2247,he said shop,5101,5113
2255,they made yesterday,92,111
2255,you have response,230,247
2269,we send representative,70,92
2274,frank disagreeing,111,128
2274,you update pls,133,147
2275,you said this afternoon,542,565
2294,we condemn the effort,160,181
2294,we appreciate the role,351,373
2309,tough cause,0,11
2310,sure got,69,77
2320,little guilty asking,5,25
2320,guilty asking,12,25
2320,we get an outline,53,70
2333,whats the story,48,63
2336,worth making,153,165
2337,english speaking,635,651
2337,journalistand leftwing,930,952
2365,we complete the transition,752,778
2374,you tube video,26,40
2376,me rave review,140,154
2383,youre email,0,11
2422,other scrubbing,291,306
2422,your proposed meeting,400,421
2422,you have any questions,485,507
2424,initial expanded,182,198
2424,plastic brimmed,3851,3866
2424,something striking love,4106,4129
2424,she had cheat,4272,4285
2424,that included list,4303,4321
2426,high declassify,97,112
2428,theres silver,438,451
2428,what triggered the conversation,529,560
2431,you call tonight,70,86
2438,painful combined,43,59
2443,we complete the transition,767,793
2463,this raises some concerns,510,535
2463,we have differences,1042,1061
2463,our oftstated position,1397,1419
2468,ill call,0,8
2472,compact requires,766,782
2472,that included vice,1113,1131
2472,that included department,1509,1533
2480,you covered thereive,94,114
2480,theres any chance,330,347
2488,it faces these challenges,945,970
2488,whos wife,1746,1755
2488,other seniorranking,1931,1950
2490,me start the process,61,81
2492,something resembling debate,384,411
2504,it sent satellite,1584,1601
2518,we complete the transition,427,453
2519,as good enjoy,197,210
2519,good enjoy,200,210
2525,own including,768,781
2550,who formed coalition,600,620
2550,large went,1770,1780
2550,there is any way,2459,2475
2552,you need assistance,117,136
2554,there is any way,189,205
2563,that advance gender,668,687
2564,it starts the lgf,672,689
2564,you have the shift,1154,1172
2564,you average this work,2997,3018
2564,what causes the sleep,3207,3228
2573,they have group,155,170
2573,there is video,766,780
2578,this has lead,750,763
2579,you download these documents,1130,1158
2580,they call the house,23,42
2582,there were no reports,147,168
2585,someone elses name,167,185
2590,you see the traffic,3,22
2626,pessimistic says,308,324
2626,there is an approach,490,510
2626,that involves the vote,536,558
2626,he has difficulty,646,663
2626,he finds dick,735,748
2626,powerlessness leading,3117,3138
2626,they invoke the name,3575,3595
2626,he organizes the network,4449,4473
2626,ill do,5924,5930
2626,who thinks sadism,6861,6878
2626,he finds the documentation,7243,7269
2626,evil think,8410,8420
2626,thats the goal,8465,8479
2626,that have sex,8721,8734
2626,there is safety,9109,9124
2626,what defines this life,9828,9850
2626,they assign agency,11229,11247
2626,his loving breast,11312,11329
2626,who thinks sadism,12057,12074
2626,he finds the documentation,12439,12465
2626,evil think,13606,13616
2626,thats the goal,13661,13675
2626,that have sex,13917,13930
2626,there is safety,14305,14320
2626,what defines this life,15024,15046
2626,they assign agency,16425,16443
2626,his loving breast,16508,16525
2626,her beaten daughter,17123,17142
2626,who ignored the tantrum,17196,17219
2626,we call government,18075,18093
2628,ill try,179,186
2628,that lay need,236,249
2632,best copy,58,67
2637,uniwrse wanted,90,104
2637,me know wrat,580,592
2640,best copy,992,1001
2641,there is vote,147,160
2641,thats the end,173,186
2648,rich said,1068,1077
2648,rich agreed,1284,1295
2648,she made progt,1528,1542
2648,there was discussion,2139,2159
2648,we criticize the bac,2410,2430
2649,theres jeopardy,268,283
2658,us target some aq,336,353
2658,they need influence,629,648
2658,who give support,1137,1153
2658,those supporting the militants,1334,1364
2658,counterproductive given,1489,1512
2658,both reduce uncertainty,3160,3183
2658,worth pursuing,3450,3464
2667,that happens asap,120,137
2668,ill give,104,112
2671,we have delivery,105,121
2688,also steinmeier called,0,22
2688,steinmeier called,5,22
2702,they established training,960,985
2702,we think the model,1135,1153
2702,that explains what symbion,1402,1428
2713,todd said,63,72
2715,afghan fighting,850,865
2715,there is no need,2422,2438
2715,british try,2895,2906
2715,he has time,3597,3608
2715,that terrified men,4036,4054
2718,ill give,13,21
2723,her says things,16,31
2723,he needs help,265,278
2725,fine try,7,15
2727,they filled the pc,11,29
2731,complimentary think,437,456
2764,he took office,523,537
2764,which covered clintons,1699,1721
2764,that challenge longheld,2435,2458
2764,who invoked the team,2497,2517
2764,him obamas centrality,3476,3497
2764,other inherited,4066,4081
2764,such emerging,6757,6770
2764,new connecting,7597,7611
2764,you need resources,8406,8424
2764,that undermines progress,9526,9550
2764,korean saberrattling,11731,11751
2764,it triggered snide,11909,11927
2764,there is evidence,12329,12346
2764,own making,12597,12607
2766,we had tie,275,285
2768,he has clips,229,241
2782,we gave bill,120,132
2794,it makes sense,278,292
2802,we offered the time,55,74
2805,them have members,2941,2958
2805,who headed the state,6561,6581
2805,im an architect,7156,7171
2805,he disputes claims,7223,7241
2805,swift boating,7469,7482
2805,theyre hostages,11201,11216
2812,his continued detention,461,484
2812,asean following,986,1001
2829,our shared future,247,264
2837,ill follow,0,10
2847,there is some concern,1059,1080
2847,you find an opportunity,1524,1547
2847,that affect the region,2200,2222
2847,they promote stability,2324,2346
2847,successive democraticallyelected,2724,2756
2847,we understand the sensitivities,3360,3391
2847,that affect the hemisphere,5058,5084
2852,also steinmeir asking,0,21
2852,steinmeir asking,5,21
2859,she gave an answer,696,714
2859,it oir tilt,788,799
2859,real deserves,2856,2869
2862,there is no voice,155,172
2862,iii keep,231,239
2877,ill call,0,8
2886,first stop,43,53
2886,ill meet,54,62
2886,second stop,85,96
2887,easy given,2225,2235
2887,who treated the program,3809,3832
2887,who studied arms,4421,4437
2889,you have edits,60,74
2892,it make sense,5,18
2894,that opened couple,303,321
2894,they found kids,885,900
2894,this happen rangel,2806,2824
2894,you watch the townhall,3251,3273
2894,he said rangels,3418,3433
2894,they lost the title,3801,3820
2910,ill update,281,291
2928,it benefits the country,255,278
2928,he has no intention,336,355
2934,hes bewhind,33,44
2957,you walked the walk,204,223
2967,uneasy think,367,379
2967,we rebuild trust,475,491
2975,anyone gives fig,940,956
2975,youre sadist,3126,3138
2975,which deprived the debate,3438,3463
2975,who witnessed the scene,5267,5290
3003,independent factfinding,0,23
3011,you need notes,49,63
3024,snub saying,1741,1752
3024,who told the evening,2907,2927
3024,he hoped rumours,3121,3137
3024,true think,3171,3181
3024,that suggest obama,3811,3829
3024,he said the time,3891,3907
3024,he respected the release,4377,4401
3024,he urged world,4899,4913
3024,we miss this opportunity,5077,5101
3024,these included wideranging,5877,5903
3026,who lost husbands,4219,4236
3036,shes an oprah,10,23
3054,non ideologicallycommitted,2146,2172
3054,finest making,3146,3159
3058,she stated the scale,127,147
3058,they shred the fabric,3018,3039
3058,there is reason,3165,3180
3058,who work every day,3499,3517
3058,prosperous working,5802,5820
3086,there are lot,371,384
3086,there are some subjects,1886,1909
3086,there are some quips,3098,3118
3086,wjc says part,3410,3423
3086,he told the truth,3595,3612
3086,they include wjcs,3884,3901
3086,there is lot,4464,4476
3086,defenseless flying,5125,5143
3086,this includes maggie,5991,6011
3086,first giving,6577,6589
3086,he offered secrets,7033,7051
3086,her sworn denial,8186,8202
3086,original struck,8410,8425
3086,there is passage,8735,8751
3086,ceremonial pushing,12399,12417
3086,he called chelsea,13819,13836
3086,same held,15200,15209
3086,she accepted criteria,15849,15870
3086,she had no clue,16056,16071
3086,there are parallels,16350,16369
3086,official adding,17044,17059
3086,he said the deal,17209,17225
3086,who said carter,17486,17501
3086,he considered carter,18928,18948
3086,he said carter,19138,19152
3086,wjc saw lewinsky,20651,20667
3086,there is scene,20697,20711
3086,which shows gores,20712,20729
3086,there is passage,20828,20844
3086,perfect distinguish,21456,21475
3086,he examined the pitfalls,22586,22610
3086,he thought gores,22770,22786
3086,him did branch,25015,25029
3086,it has wjc,25034,25044
3086,you made mistake,25141,25157
3086,only englishspeaking,26062,26082
3086,unhinged thought,26396,26412
3086,he said branch,26433,26447
3086,their colliding perspectives,27128,27156
3086,it has wjc,27510,27520
3086,he said the pellmell,27765,27785
3086,our glancing associations,29137,29162
3086,wjc said tut,29437,29449
3086,rubin run,29507,29516
3086,which raises question,29613,29634
3087,hes mum,205,212
3089,we have call,85,97
3091,that helps the dying,11,31
3091,who offer endoflife,255,274
3091,those confronting death,313,336
3091,she sought advice,1318,1335
3091,worth noting,2380,2392
3091,it does good,2805,2817
3098,that starts today,45,62
3107,they want foreword,201,219
3107,ill follow,259,269
3120,advanced browse,2074,2089
3120,wireless reading,2566,2582
3120,that shattered the party,4009,4033
3120,political indoctrines,5509,5530
3121,worth factoring,101,116
3125,there is no standard,1270,1290
3125,thats the standard,1337,1355
3125,durbin interrupted,1435,1453
3125,thats cheryl,2294,2306
3125,who holds that post,2313,2332
3133,you regards tom,1661,1676
3144,you have chance,41,56
3144,that took place,958,973
3144,few believe,1866,1877
3144,its leading members,2450,2469
3144,he told an interviewer,2761,2783
3144,it equated the massacre,3586,3609
3144,who denied the massacre,3658,3681
3144,there are odds,4953,4967
3144,ill say,6363,6370
3146,sure saw,3,11
3151,he said camerons,2231,2247
3151,which receives rebate,4281,4302
3151,we get government,4306,4323
3151,he said cameron,4684,4699
3151,thats representative,5273,5293
3154,they had elections,517,535
3154,it favored netanyahu,740,760
3154,which cuts both ways,4769,4789
3154,she brings vision,5838,5855
3154,first elected,6058,6071
3154,who run places,6244,6258
3154,she has the potential,6498,6519
3154,she ran gauntlet,7677,7693
3154,academic named,8114,8128
3154,they missed the point,8726,8747
3154,there are no toasts,9536,9555
3154,there is no alcohol,9593,9612
3154,yellow embroidered,12342,12360
3154,popular see,13201,13212
3154,her favored candidate,14809,14830
3154,republican disagree,15160,15179
3154,unprecedented seemed,15932,15952
3154,theres no progress,17186,17204
3154,which represents the views,18333,18359
3154,it gets response,18666,18682
3154,there is need,19526,19539
3154,there is no messagesee,20567,20589
3154,who understands the intersection,21434,21466
3154,she said hope,21956,21969
3154,she accomplished lot,22378,22398
3154,most important trusted,22566,22588
3154,important trusted,22571,22588
3159,least absorb,318,330
3160,next sept,1160,1169
3160,highly motivated brainwashed,1216,1244
3160,motivated brainwashed,1223,1244
3160,who follow events,1671,1688
3160,they attracted volunteers,1923,1948
3160,current offensiveagainst,2155,2179
3160,central issuing,3164,3179
3160,there is no connection,3231,3253
3160,more sept lls,3301,3314
3160,sept lls,3306,3314
